2025/05/01 (05:29:36) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:29:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:29:44) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:29:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:29:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:29:44) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:29:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:29:50) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:29:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:29:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:29:50) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:29:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:29:58) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:29:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:29:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:29:58) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:30:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:30:16) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:30:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:30:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:30:16) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:30:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:30:22) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:30:22) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:30:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:30:22) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:30:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:30:30) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:30:30) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:30:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:30:30) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:30:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:30:36) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:30:36) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:30:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:30:36) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:30:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:30:46) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:30:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:30:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:30:46) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:30:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:30:54) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:30:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:30:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:30:54) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:04) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:04) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:04) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:10) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:10) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:10) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:20) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:20) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:20) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:26) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:26) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:36) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:36) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:36) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:44) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:44) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:31:54) | WARNING: ROCm SMI: Failed to get GPU temperature
